DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
28-Nov-2025,EQ,"1,525.20","1,535.80","1,520.60","1,525.20","1,530.00","1,531.30","1,528.73","1,673.00","1,335.00",991042,"1,51,50,30,877.00",32391
27-Nov-2025,EQ,"1,523.80","1,531.50","1,520.10","1,523.80","1,526.40","1,525.20","1,525.86","1,673.00","1,335.00",810411,"1,23,65,71,062.40",40324
26-Nov-2025,EQ,"1,505.00","1,525.50","1,505.00","1,507.50","1,525.00","1,523.80","1,517.29","1,673.00","1,335.00",1087736,"1,65,04,16,191.80",47341
25-Nov-2025,EQ,"1,500.20","1,522.70","1,500.20","1,504.00","1,504.60","1,507.50","1,513.37","1,673.00","1,335.00",908386,"1,37,47,23,579.80",83775
24-Nov-2025,EQ,"1,515.00","1,524.80","1,500.00","1,511.80","1,505.10","1,504.00","1,508.55","1,673.00","1,335.00",2801854,"4,22,67,23,518.50",56727
21-Nov-2025,EQ,"1,521.10","1,527.00","1,507.70","1,529.20","1,509.50","1,511.80","1,519.19","1,673.00","1,335.00",1126820,"1,71,18,56,332.30",38517
20-Nov-2025,EQ,"1,526.90","1,534.80","1,519.40","1,526.80","1,528.30","1,529.20","1,528.88","1,673.00","1,335.00",896750,"1,37,10,26,814.50",43167
19-Nov-2025,EQ,"1,511.40","1,529.60","1,505.40","1,514.50","1,526.00","1,526.80","1,520.33","1,673.00","1,335.00",1171078,"1,78,04,28,443.60",42158
18-Nov-2025,EQ,"1,530.00","1,535.00","1,512.10","1,535.60","1,516.00","1,514.50","1,521.69","1,673.00","1,335.00",747913,"1,13,80,90,199.30",41356
17-Nov-2025,EQ,"1,537.50","1,538.40","1,526.50","1,532.10","1,536.40","1,535.60","1,534.08","1,673.00","1,335.00",912322,"1,39,95,73,787.90",35841
14-Nov-2025,EQ,"1,526.90","1,534.40","1,522.00","1,525.80","1,532.00","1,532.10","1,529.75","1,673.00","1,335.00",810970,"1,24,05,84,724.60",40666
13-Nov-2025,EQ,"1,520.00","1,534.90","1,515.40","1,519.30","1,528.10","1,525.80","1,525.06","1,673.00","1,335.00",1217362,"1,85,65,48,362.00",49370
12-Nov-2025,EQ,"1,514.90","1,528.10","1,514.10","1,514.90","1,521.90","1,519.30","1,520.08","1,673.00","1,335.00",1179131,"1,79,23,78,997.40",40964
11-Nov-2025,EQ,"1,511.30","1,517.50","1,506.10","1,511.50","1,514.90","1,514.90","1,513.66","1,673.00","1,335.00",850772,"1,28,77,81,867.40",40922
10-Nov-2025,EQ,"1,510.00","1,516.70","1,503.90","1,505.70","1,507.90","1,511.50","1,510.73","1,673.00","1,335.00",1143959,"1,72,82,17,970.70",47003
07-Nov-2025,EQ,"1,500.00","1,510.00","1,491.60","1,501.50","1,509.80","1,505.70","1,502.77","1,673.00","1,335.00",1037508,"1,55,91,39,496.40",44111
06-Nov-2025,EQ,"1,510.80","1,512.90","1,498.00","1,503.30","1,502.90","1,501.50","1,504.18","1,673.00","1,335.00",1596245,"2,40,10,36,360.30",112463
04-Nov-2025,EQ,"1,511.50","1,524.00","1,498.10","1,511.50","1,503.00","1,503.30","1,505.34","1,673.00","1,335.00",1590643,"2,39,44,56,346.00",71469
03-Nov-2025,EQ,"1,502.90","1,514.90","1,490.30","1,501.30","1,509.60","1,511.50","1,506.37","1,673.00","1,335.00",1505905,"2,26,84,52,674.40",55695
31-Oct-2025,EQ,"1,510.10","1,529.40","1,500.00","1,540.10","1,501.50","1,501.30","1,508.01","1,673.00","1,335.00",3365093,"5,07,46,03,728.20",144769
30-Oct-2025,EQ,"1,587.00","1,593.30","1,504.00","1,581.10","1,541.00","1,540.10","1,549.23","1,673.00","1,335.00",4053965,"6,28,05,13,706.40",113149
29-Oct-2025,EQ,"1,575.00","1,588.00","1,571.70","1,568.10","1,580.00","1,581.10","1,579.57","1,673.00","1,335.00",898965,"1,41,99,80,644.60",42853
28-Oct-2025,EQ,"1,585.80","1,589.90","1,562.10","1,584.00","1,570.00","1,568.10","1,572.89","1,673.00","1,335.00",1489133,"2,34,22,48,827.20",62855
27-Oct-2025,EQ,"1,585.00","1,593.80","1,575.20","1,584.40","1,583.00","1,584.00","1,581.75","1,673.00","1,335.00",1213749,"1,91,98,48,505.50",57397
24-Oct-2025,EQ,"1,625.10","1,625.10","1,581.10","1,645.10","1,584.60","1,584.40","1,595.92","1,673.00","1,335.00",2941997,"4,69,51,88,218.90",111452
23-Oct-2025,EQ,"1,665.00","1,673.00","1,638.10","1,663.60","1,645.00","1,645.10","1,652.65","1,673.00","1,335.00",2150725,"3,55,43,96,741.00",144042
21-Oct-2025,EQ,"1,646.70","1,669.00","1,642.10","1,639.10","1,665.00","1,663.60","1,662.13","1,669.00","1,335.00",709223,"1,17,88,18,228.90",23866
20-Oct-2025,EQ,"1,590.00","1,647.00","1,577.90","1,577.60","1,643.00","1,639.10","1,618.06","1,647.00","1,335.00",3372906,"5,45,75,49,407.10",89570
17-Oct-2025,EQ,"1,565.30","1,582.10","1,558.40","1,569.40","1,574.20","1,577.60","1,569.83","1,612.35","1,335.00",1222051,"1,91,84,13,090.50",42655
16-Oct-2025,EQ,"1,559.00","1,572.00","1,555.10","1,558.70","1,570.00","1,569.40","1,565.32","1,612.35","1,335.00",989785,"1,54,93,34,899.30",60619
15-Oct-2025,EQ,"1,550.00","1,564.80","1,546.00","1,552.30","1,556.10","1,558.70","1,554.19","1,612.35","1,335.00",1638237,"2,54,61,26,368.90",39737
14-Oct-2025,EQ,"1,563.00","1,566.10","1,537.10","1,563.60","1,548.30","1,552.30","1,547.66","1,612.35","1,335.00",1056222,"1,63,46,70,721.70",50095
13-Oct-2025,EQ,"1,559.00","1,566.90","1,550.10","1,561.80","1,562.90","1,563.60","1,560.93","1,612.35","1,335.00",671620,"1,04,83,49,703.50",31412
10-Oct-2025,EQ,"1,513.00","1,569.00","1,506.90","1,513.10","1,568.00","1,561.80","1,548.77","1,702.05","1,335.00",1495524,"2,31,62,27,890.00",64257
09-Oct-2025,EQ,"1,510.00","1,516.70","1,499.30","1,494.60","1,513.40","1,513.10","1,510.88","1,702.05","1,335.00",878167,"1,32,68,04,317.50",42647
08-Oct-2025,EQ,"1,512.00","1,519.30","1,490.80","1,513.30","1,492.00","1,494.60","1,499.41","1,702.05","1,335.00",1068066,"1,60,14,64,612.00",56208
07-Oct-2025,EQ,"1,514.90","1,522.00","1,506.20","1,513.10","1,512.00","1,513.30","1,513.92","1,702.05","1,335.00",834623,"1,26,35,51,384.20",47934
06-Oct-2025,EQ,"1,511.00","1,520.00","1,497.80","1,517.70","1,514.00","1,513.10","1,510.37","1,702.05","1,335.00",772031,"1,16,60,51,011.60",34651
03-Oct-2025,EQ,"1,522.00","1,537.80","1,509.50","1,513.00","1,517.50","1,517.70","1,518.36","1,702.05","1,335.00",1070489,"1,62,53,88,963.40",65586
01-Oct-2025,EQ,"1,505.00","1,517.40","1,498.40","1,503.30","1,511.60","1,513.00","1,507.33","1,702.05","1,335.00",1000285,"1,50,77,60,197.00",51030
30-Sep-2025,EQ,"1,488.10","1,506.60","1,488.10","1,488.00","1,505.00","1,503.30","1,498.61","1,702.05","1,335.00",1040806,"1,55,97,59,507.00",49965
29-Sep-2025,EQ,"1,506.90","1,527.30","1,485.30","1,499.40","1,490.00","1,488.00","1,502.68","1,702.05","1,335.00",1778220,"2,67,20,90,566.10",82719
26-Sep-2025,EQ,"1,495.60","1,504.90","1,475.20","1,509.70","1,499.40","1,499.40","1,494.55","1,702.05","1,335.00",2653841,"3,96,63,06,500.30",81303
25-Sep-2025,EQ,"1,538.00","1,544.80","1,505.40","1,538.00","1,507.80","1,509.70","1,528.32","1,702.05","1,335.00",2502680,"3,82,48,99,189.60",63280
24-Sep-2025,EQ,"1,527.00","1,542.50","1,520.30","1,527.10","1,535.00","1,538.00","1,534.39","1,702.05","1,335.00",943785,"1,44,81,31,918.20",50026
23-Sep-2025,EQ,"1,542.20","1,550.70","1,517.50","1,542.20","1,530.00","1,527.10","1,527.25","1,702.05","1,335.00",1487350,"2,27,15,52,854.00",52933
22-Sep-2025,EQ,"1,575.00","1,583.20","1,540.00","1,575.80","1,542.00","1,542.20","1,552.44","1,702.05","1,335.00",1257495,"1,95,21,85,553.20",50000
19-Sep-2025,EQ,"1,581.00","1,584.90","1,557.50","1,578.20","1,575.10","1,575.80","1,571.68","1,702.05","1,335.00",1464121,"2,30,11,34,701.10",44910
18-Sep-2025,EQ,"1,560.00","1,580.00","1,556.40","1,559.60","1,580.00","1,578.20","1,571.47","1,702.05","1,335.00",874860,"1,37,48,16,417.40",45739
17-Sep-2025,EQ,"1,556.00","1,562.50","1,549.10","1,559.00","1,560.00","1,559.60","1,555.89","1,702.05","1,335.00",785651,"1,22,23,89,472.80",37532
16-Sep-2025,EQ,"1,556.00","1,560.20","1,550.00","1,548.30","1,555.40","1,559.00","1,556.18","1,702.05","1,335.00",471395,"73,35,76,107.30",30624
15-Sep-2025,EQ,"1,568.00","1,579.80","1,546.10","1,574.60","1,547.00","1,548.30","1,556.88","1,702.05","1,335.00",758979,"1,18,16,38,808.10",43810
12-Sep-2025,EQ,"1,562.10","1,578.30","1,562.10","1,560.80","1,571.50","1,574.60","1,573.74","1,702.05","1,335.00",785508,"1,23,61,82,642.00",40053
11-Sep-2025,EQ,"1,563.50","1,570.50","1,554.10","1,563.80","1,561.00","1,560.80","1,561.15","1,702.05","1,335.00",732911,"1,14,41,80,613.40",37149
10-Sep-2025,EQ,"1,555.00","1,571.00","1,553.90","1,551.60","1,560.40","1,563.80","1,561.92","1,702.05","1,335.00",718311,"1,12,19,43,798.20",62829
09-Sep-2025,EQ,"1,541.20","1,555.20","1,533.10","1,541.20","1,551.50","1,551.60","1,549.30","1,702.05","1,335.00",788242,"1,22,12,20,604.60",48576
08-Sep-2025,EQ,"1,554.50","1,564.90","1,538.90","1,553.40","1,544.50","1,541.20","1,549.41","1,702.05","1,335.00",588546,"91,18,98,209.50",39379
05-Sep-2025,EQ,"1,577.80","1,585.60","1,550.00","1,577.80","1,551.10","1,553.40","1,561.96","1,702.05","1,335.00",701865,"1,09,62,88,247.50",49643
04-Sep-2025,EQ,"1,599.00","1,599.00","1,573.70","1,578.40","1,577.30","1,577.80","1,579.47","1,702.05","1,335.00",614470,"97,05,35,050.00",44712
03-Sep-2025,EQ,"1,570.00","1,596.40","1,569.00","1,569.20","1,579.60","1,578.40","1,582.37","1,702.05","1,335.00",1160380,"1,83,61,46,112.30",57524
02-Sep-2025,EQ,"1,587.00","1,593.00","1,563.30","1,587.20","1,568.00","1,569.20","1,574.73","1,702.05","1,335.00",1161872,"1,82,96,31,947.20",63101
01-Sep-2025,EQ,"1,589.40","1,598.00","1,583.00","1,589.40","1,585.90","1,587.20","1,590.88","1,702.05","1,335.00",783524,"1,24,64,90,913.60",35403
29-Aug-2025,EQ,"1,578.50","1,596.40","1,567.80","1,580.30","1,587.00","1,589.40","1,586.83","1,702.05","1,335.00",1342344,"2,13,00,76,158.40",43227
28-Aug-2025,EQ,"1,594.00","1,594.00","1,568.70","1,579.80","1,580.00","1,580.30","1,579.85","1,702.05","1,335.00",1903230,"3,00,68,12,830.40",62383
26-Aug-2025,EQ,"1,604.00","1,604.10","1,573.00","1,601.20","1,576.60","1,579.80","1,582.91","1,702.05","1,335.00",2332380,"3,69,19,50,559.90",95888
